product_id,name,category,price
1,Street consumer board follow.,Vêtements et Accessoires,"126,35"
2,Business pattern should popular.,Articles Ménagers,"23,2"
3,Wonder send would note.,Articles de Luxe,"26,64"
4,Simple others building player.,Articles Ménagers,"21,19"
5,Keep coach toward customer.,Mode de Vie,"19,34"
6,Range option future fire.,Électronique,"516,07"
7,Rule really majority sit.,Vêtements et Accessoires,"31,51"
8,Peace by new several.,Articles Tendance,"55,14"
9,Practice former oil create.,Mode de Vie,"170,67"
10,Point explain apply truth.,Vêtements et Accessoires,"107,93"
11,Sing bank structure although.,Électronique,"329,83"
12,Figure suddenly himself hit.,Vêtements et Accessoires,"74,54"
13,Away summer on worry.,Articles Ménagers,"2,89"
14,Garden up heavy standard.,Articles de Luxe,"203,1"
15,Contain star find actually.,Électronique,"328,4"
16,Wind impact recognize note.,Produits de Beauté,"25,15"
17,Result way happen night.,Produits de Beauté,"50,2"
18,Teacher hot deep Mrs.,Articles Ménagers,"44,05"
19,Attorney who herself find.,Articles Tendance,"0,97"
20,Painting ever rock should.,Vêtements et Accessoires,"86,04"
21,Technology inside hit assume.,Alimentation,"12,36"
22,Stock art gun purpose.,Articles Tendance,"50,53"
23,Support these could conference.,Électronique,"310,26"
24,Media area risk anything.,Vêtements et Accessoires,"107,44"
25,Federal high north speak.,Articles de Luxe,"481,48"
26,Data month role option.,Mode de Vie,"63,15"
27,Believe let which seem.,Produits en Promotion,"27,91"
28,Teacher write society front.,Produits de Beauté,"5,22"
29,Decide use court employee.,Produits de Beauté,"15,27"
30,Beyond style middle person.,Mode de Vie,"110,92"
31,Discover serious size state.,Électronique,"314,27"
32,Draw water spring front.,Cadeaux et Accessoires,"6,56"
33,Often operation strategy plan.,Articles Tendance,"29,96"
34,Computer fire growth food.,Articles Ménagers,"29,06"
35,Check build organization color.,Produits de Beauté,"39,15"
36,Lawyer meeting leave level.,Produits d'Essai,"5,37"
37,Some those particularly tonight.,Articles Ménagers,"29,81"
38,List happy region worker.,Produits en Promotion,"12,06"
39,Floor include than resource.,Produits d'Essai,"10,45"
40,Open throw election debate.,Alimentation,"5,26"
41,Somebody him cause can.,Articles de Luxe,"746,89"
42,Themselves charge different baby.,Produits de Beauté,"0,9"
43,Light although able boy.,Articles Tendance,"46,96"
44,Animal standard site lead.,Vêtements et Accessoires,"34,2"
45,Likely item lay these.,Articles Ménagers,"7,89"
46,Senior do anything meeting.,Électronique,"300,27"
47,Would impact believe beautiful.,Articles Tendance,"23,66"
48,Baby work relationship board.,Produits de Beauté,"31,02"
49,Line member member notice.,Mode de Vie,"87,64"
50,Cause head dinner degree.,Articles de Luxe,"632,13"
51,Use mission something director.,Articles Tendance,"63,53"
52,Wait statement picture result.,Mode de Vie,"127,99"
53,Financial resource so himself.,Mode de Vie,"36,76"
54,Everyone something develop evidence.,Produits de Beauté,"31,45"
55,Measure benefit network three.,Alimentation,"6,49"
56,Group impact company sense.,Produits de Beauté,"19,13"
57,Move single gun able.,Articles Ménagers,"24,72"
58,Today administration air call.,Articles de Luxe,"533,21"
59,Voice program tend thank.,Produits d'Essai,"15,55"
60,Trouble group someone receive.,Produits de Beauté,"27,19"
61,Short ball street enter.,Produits en Promotion,"9,34"
62,Build indeed program whom.,Articles Saisonniers,"30,39"
63,Tax culture people environment.,Articles Tendance,"36,59"
64,Go major compare great.,Articles Saisonniers,"35,88"
65,Today different charge message.,Produits d'Essai,"16,95"
66,Only treatment value yeah.,Produits de Beauté,"4,67"
67,Financial thank ok dinner.,Cadeaux et Accessoires,"32,22"
68,Road oil single spend.,Cadeaux et Accessoires,"9,29"
69,Exist character later just.,Alimentation,"6,85"
70,Real way treat opportunity.,Articles de Luxe,"0,1"
71,Tell particularly writer ever.,Électronique,"188,51"
